ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
Cặp đi học đẹp dễ thương ba lô vải du lịch thời trang balo nữ đi học đựng laptop giá rẻ,45000,69000,4.460829493087558,217,https://vn-live-01.slatic.net/p/44f0d2daf73c86301a4d960ebc03e487.jpg,XƯỞNG BALO HỒNG LÂM,Backpacks,https://www.lazada.vn/products/pdp-i2059763845.html
"Yonex Waterproof Badminton Backpack High Quality Sports Backpack for Badminton Rackets Tennis Bag Sport 47X31X19Cm, Student Backpack",380000,700000,4.925925925925926,54,https://vn-live-01.slatic.net/p/38f18f26768c67bd48c92c9f69e708fb.jpg,GIATHANH STORE,Backpacks,https://www.lazada.vn/products/pdp-i3000124506.html
SCHWARZ ETIENNE⚡Free Shipping⚡ PVC Outdoor Waterproof Bag Swimming Waterproof Bucket Bag Travel Beach Storage Bag Diving Rafting Waterproof Backpack,73000,106000,4.8,64,https://my-live-02.slatic.net/p/5c8f073e2a9efc09cc19c31c6faf9547.jpg,Polo R&L,Backpacks,https://www.lazada.vn/products/pdp-i1837243960.html
"Dohago Men's Fashion Leather Backpack Bna01 Multifunctional Laptop Backpack, Waterproof, Youthful Design, Stylish",179000,330000,4.918918918918919,37,https://vn-live-01.slatic.net/p/1b546aaba0096dcd9c45d03a85a56110.jpg,HINTAS_SHOP,Backpacks,https://www.lazada.vn/products/pdp-i2482834130.html
Fashion Business Backpack Men & Women Computer Backpack 15.6 Business Backpack Travel School Bag,145000,254000,4.625,53,https://sg-test-11.slatic.net/p/fa40dab5123ad061e8f22459f9929aa9.jpg,Polo R&L,Backpacks,https://www.lazada.vn/products/pdp-i3033987107.html
"Balo Đi Học Đi Chơi, Ba lô Nam Nữ Phong Cách Hàn Quốc, Ba lô Ulzzang Trơn",89000,,4.5,2,https://vn-live-01.slatic.net/p/a908eab8efe3dcd4cd3a613c34ff848f.jpg,giaydeptreemboshop,Backpacks,https://www.lazada.vn/products/pdp-i1923229157.html
"Ba Lô Du Lịch Cỡ Lớn, Chất Liệu Vải Dù Siêu Bền",189000,300000,5.0,16,https://vn-live-01.slatic.net/p/0dbe05d51e5b40b22948716f5147fcc2.jpg,HND Platinum,Backpacks,https://www.lazada.vn/products/pdp-i1479971893.html
"Balo đi học nữ họa tiết đơn giản, balo học sinh sinh viên phong cách đơn giản dễ phối đồ BZ005",159000,237000,4.982608695652174,115,https://sg-test-11.slatic.net/p/1f6042bda6a39db72b25bd43e7d0011a.jpg,SchoolBag,Backpacks,https://www.lazada.vn/products/pdp-i2450693604.html
Balo Ulzzang thời trang Nam Nữ Chống Nước đi học đi chơi  Giá Rẻ 284 - ko tặng móc khoá,119000,230000,5.0,2,https://vn-live-01.slatic.net/p/5db8f18b8c77398b70ab5df2e2d11ee9.jpg,VITAS( Tp HCM),Backpacks,https://www.lazada.vn/products/pdp-i3121292579.html
"BALO chống nước tiện dụng đa năng , thời trang dành cho sinh viên , học sinh , công sở, ...   (Đen)",160000,220000,4.9,20,https://filebroker-cdn.lazada.vn/kf/Sac553444d6614fa5a46644b834d4d2dcA.jpg,Túi Xách New 3,Backpacks,https://www.lazada.vn/products/pdp-i2023375558.html
set balo 4 món đi học nữ cặp ulzzang cấp 1 2 3 gấu cute xinh xắn,67900,89000,4.729910714285714,448,https://vn-live-01.slatic.net/p/c0c5d8f03f52682d38e993658ab911b2.jpg,Mun House - Phụ Kiện Xinh,Backpacks,https://www.lazada.vn/products/pdp-i2008780995.html
[HCM]Cặp đi học  Ulzzang Hàn Quốc cho học sinh đựng nhiều sách vở ngăn bóng kính,49000,69000,4.565217391304348,138,https://vn-live-01.slatic.net/p/6bd99cbf30abf2423e71f352b389441c.jpg,XƯỞNG BALO HỒNG LÂM,Backpacks,https://www.lazada.vn/products/pdp-i2017822286.html
Balo thời trang unisex nhỏ gọn nhiều màu MEN C9 [GIÁ HỦY DIỆT],75000,105000,5.0,4,https://sg-test-11.slatic.net/p/fe127c2d0703812d7beaf0356b97b32e.jpg,vuahangsi.net,Backpacks,https://www.lazada.vn/products/pdp-i2890189750.html
"[Deere Jack🌺【Miễn Phí Vận Chuyển】🌺 Men's backpack student schoolbag large capacity high school students college students schoolbag business multifunctional laptop backpacks,Deere Jack Men's backpack student schoolbag large capacity high school students college students schoolbag business multifunctional laptop backpacks,]",140000,280000,4.957446808510638,102,https://vn-live-01.slatic.net/p/2ed0f85dfa69d3e9405ed13118be6ac2.jpg,Deere Jack Store,Backpacks,https://www.lazada.vn/products/pdp-i2415192823.html
Balo vải Dù du lịch xếp gọn tiện lợi thời trang MEN B2 GSR [ẢNH THẬT],30380,31000,5.0,2,https://sg-test-11.slatic.net/p/f3849e9014ed04dada260402bdf1cd0e.jpg,Shalla vali balo,Backpacks,https://www.lazada.vn/products/pdp-i2833945380.html
| Auth + Ảnh Thật | Balo Adidas YOLA III BACKPACK của MỸ.,920000,990000,,,https://filebroker-cdn.lazada.vn/kf/S5be218a1b22747f59fa9b1f613ed624bc.jpg,Authentic-Always,Backpacks,https://www.lazada.vn/products/pdp-i3070987205.html
Deere Jack🌺【Miễn Phí Vận Chuyển】🌺 Backpack large capacity schoolbag Men's and women's travel backpack computer bag,89000,172000,4.9640287769784175,157,https://vn-live-01.slatic.net/p/ecf9c850bf3b77293df7f4b114da6256.jpg,Deere Jack Store,Backpacks,https://www.lazada.vn/products/pdp-i2221642901.html
"Travel Backpack Waterproof School Backpack for Work Fashion, Convenient Multi-Compartment 15.6 Inch Laptop Backpack",116620,190000,4.862745098039215,102,https://vn-live-01.slatic.net/p/e80cfc1454641f55333ca12e6a557e7a.jpg,TINTIN_STORE,Backpacks,https://www.lazada.vn/products/pdp-i2316877894.html
"Ba lô hình chú chó con dễ thương họa tiết hoạt hình, ba lô sức chứa lớn đa năng cho học sinh cấp 2 cấp 3, sinh viên kháng nước vừa laptop, trượt nước dễ phối đồ phom to L4 B5524",99500,198000,5.0,1,https://vn-live-01.slatic.net/p/bdd6cfd83e006f326910eab081426e20.jpg,VuaTui666-L4,Backpacks,https://www.lazada.vn/products/pdp-i3159075294.html
Iqangel fashion Men large capacity high quality waterproof sports backpack travel rucksack men's backpack,129000,246000,4.904477611940298,670,https://vn-live-01.slatic.net/p/bfe934a3cd786da77a43a5b905b885d0.jpg,IQANGEL Shopping Mall,Backpacks,https://www.lazada.vn/products/pdp-i2364432548.html
Balo du lịch nam nữ gấp gọn NF  Flyweight Balo xếp gọn đa năng nhiều ngăn siêu gọn nhẹ chống nước nhẹ,179000,351000,4.9,20,https://vn-live-01.slatic.net/p/ea4e0b693eac7fae384e14c99b196936.png, Balo-Áo khoác trekking du lịch,Backpacks,https://www.lazada.vn/products/pdp-i3059845043.html
Balo du lịch cỡ đại 60L thời trang GSR M.E.N BUMNOS [HÀNG MỚI VỀ],172600,207000,5.0,2,https://sg-test-11.slatic.net/p/f5b825ee228543d9232aea4d6ebbef50.jpg,Shalla shop,Backpacks,https://www.lazada.vn/products/pdp-i2855807836.html
Balo Nam Nữ Phong Cách Hàn Quốc BE YOUR STYLE BL06 ( 38x30x10 ),58800,100000,4.658682634730539,167,https://vn-live-01.slatic.net/p/7910f2a64088d5ad0ed2e93b77222a34.jpg,Phụ Kiện Giá Tốt 24H,Backpacks,https://www.lazada.vn/products/pdp-i261430034.html
